speciesCode,cat,taxonOrder,aba
x00840,hybrid,686,
x00726,hybrid,687,
x00614,hybrid,690,
x00780,hybrid,691,
x00705,hybrid,703,
x00688,hybrid,992,
x00687,hybrid,1008,
x00689,hybrid,1017,
y00315,hybrid,1018,
x00727,hybrid,1239,
x00781,hybrid,1240,
x00728,hybrid,1245,
x00668,hybrid,1247,
x00841,hybrid,1341,
x00943,hybrid,1419,
impphe1,hybrid,1452,
x00380,hybrid,1477,
x00640,hybrid,1680,
x00381,hybrid,1681,
x00427,hybrid,1824,
x00382,hybrid,2000,
x00799,hybrid,2005,
x00849,hybrid,2137,
x00767,hybrid,2375,
x00800,hybrid,2939,
x00944,hybrid,4449,
x00672,hybrid,4506,
x00383,hybrid,4568,
x00945,hybrid,4651,
x00736,hybrid,4666,
x00946,hybrid,4690,
x00850,hybrid,4691,
x00690,hybrid,4700,
x00651,hybrid,4701,
x00737,hybrid,4703,
x00384,hybrid,4704,
x00618,hybrid,4705,
x00768,hybrid,4708,
x00619,hybrid,4709,
x00738,hybrid,4711,
x00626,hybrid,4712,
x00852,hybrid,4713,
x00691,hybrid,4717,
x00385,hybrid,4718,
x00851,hybrid,4721,
x00386,hybrid,4722,
x00739,hybrid,4736,
x00676,hybrid,4751,
x00387,hybrid,4752,
x00388,hybrid,4754,
x00633,hybrid,4918,
mxbhum1,hybrid,4935,
x00947,hybrid,4988,
x00916,hybrid,4991,
bogsun2,hybrid,5084,
x00948,hybrid,5150,
x00389,hybrid,5351,
x00911,hybrid,5355,
x00390,hybrid,5364,
x00845,hybrid,5368,
x00844,hybrid,5395,
x00949,hybrid,5574,
x00657,hybrid,5577,
x00884,hybrid,5579,
x00790,hybrid,5581,
x00830,hybrid,5621,
x00459,hybrid,5624,
x00846,hybrid,5631,
x00732,hybrid,5637,
x00928,hybrid,5649,
x00006,hybrid,5661,
x00885,hybrid,5688,
x00791,hybrid,5849,
x00733,hybrid,5909,
x00675,hybrid,5910,
x00433,hybrid,5943,
x00430,hybrid,5950,
x00431,hybrid,5952,
x00432,hybrid,5955,
x00792,hybrid,5997,
x00793,hybrid,6199,
x00886,hybrid,6284,
x00391,hybrid,6287,
x00734,hybrid,6289,
x00392,hybrid,6298,
x00794,hybrid,6300,
x00695,hybrid,6304,
x00393,hybrid,6322,
x00847,hybrid,6323,
x00641,hybrid,6327,
x00616,hybrid,6328,
x00795,hybrid,6329,
x00394,hybrid,6330,
x00796,hybrid,6346,
x00797,hybrid,6347,
x00915,hybrid,6353,
x00395,hybrid,6354,
x00617,hybrid,6366,
x00057,hybrid,6376,
x00396,hybrid,6377,
x00434,hybrid,6381,
x00051,hybrid,6383,
x00050,hybrid,6384,
x00436,hybrid,6386,
nelgul,hybrid,6393,
x00437,hybrid,6394,
x00048,hybrid,6395,
x00047,hybrid,6398,
x00397,hybrid,6399,
x00632,hybrid,6400,
kxhgul1,hybrid,6407,
x00798,hybrid,6483,
x00735,hybrid,6532,
x00910,hybrid,6534,
x00438,hybrid,6567,
x00848,hybrid,6576,
x00921,hybrid,6648,
x00017,hybrid,6682,
x00729,hybrid,6967,
x00782,hybrid,7003,
x00950,hybrid,7004,
x00783,hybrid,7080,
x00842,hybrid,7118,
x00784,hybrid,7183,
x00677,hybrid,7205,
x00398,hybrid,7206,
x00656,hybrid,7224,
x00697,hybrid,7232,
x00615,hybrid,7234,
x00730,hybrid,7238,
x00696,hybrid,7239,
x00785,hybrid,7243,
x00765,hybrid,7295,
x00704,hybrid,7326,
x00428,hybrid,7345,
gxwibi1,hybrid,7348,
x00883,hybrid,7405,
x00786,hybrid,7484,
x00843,hybrid,7643,
x00399,hybrid,7735,
x00787,hybrid,8073,
x00400,hybrid,8083,
x00686,hybrid,8113,
x00788,hybrid,8119,
x00731,hybrid,8120,
x00930,hybrid,8122,
x00766,hybrid,8148,
x00789,hybrid,8151,
x00933,hybrid,8448,
x00401,hybrid,8561,
x00439,hybrid,8777,
x00667,hybrid,9234,
x00887,hybrid,9341,
x00402,hybrid,9365,
x00769,hybrid,9367,
indrol4,hybrid,9887,
x00951,hybrid,10585,
x00952,hybrid,10590,
x00634,hybrid,10638,
x00712,hybrid,10643,
rnxsap1,hybrid,10644,
x00440,hybrid,10690,
x00853,hybrid,10705,
x00460,hybrid,10708,
x00914,hybrid,10866,
x00662,hybrid,10903,
x00801,hybrid,10913,
x00620,hybrid,10915,
x00803,hybrid,10938,
x00663,hybrid,10940,
x00802,hybrid,10941,
x00854,hybrid,11051,
x00805,hybrid,11083,
bkrfla3,hybrid,11106,
x00855,hybrid,11155,
eugwoo1,hybrid,11157,
x00804,hybrid,11241,
x00924,hybrid,11389,
x00698,hybrid,11600,
x00953,hybrid,11651,
x00806,hybrid,11652,
x00403,hybrid,11662,
x00920,hybrid,11669,
x00404,hybrid,11673,
x00954,hybrid,11741,
x00955,hybrid,11819,
x00807,hybrid,11944,
x00808,hybrid,11945,
x00707,hybrid,11949,
x00956,hybrid,11950,
x00809,hybrid,12130,
x00810,hybrid,12131,
x00856,hybrid,12133,
x00957,hybrid,12135,
x00671,hybrid,12194,
wwxpar1,hybrid,12272,
x00958,hybrid,12346,
x00857,hybrid,12353,
x00888,hybrid,12582,
x00405,hybrid,12583,
x00406,hybrid,12585,
x00959,hybrid,12614,
x00407,hybrid,13292,
x00740,hybrid,14864,
x00960,hybrid,15061,
x00811,hybrid,15123,
x00858,hybrid,16242,
x00770,hybrid,16315,
